subjectid,gender,height,weight,handedness,age,race
11417,male,166.7,82.1,right,25,hispanic
11418,male,176,67.5,right,21,white
11421,male,175.2,86,left,24,white
11422,male,188.6,95.4,right,25,white
11423,male,172.9,97,right,35,white
11427,male,179,89.5,right,25,white
11431,male,174.5,101.6,right,22,white
11432,male,167.7,75.8,right,25,white
11439,male,172.5,71.5,left,24,black
11440,male,174.8,88.4,right,29,white
11441,male,161,45.9,right,29,white
11445,male,170.5,75.6,right,40,white
11447,male,183.3,99.5,right,27,white
11450,male,182,113.8,left,36,white
11451,male,177.6,84,right,24,white
11452,male,179.1,111.4,right,24,black
11453,male,197,90.2,left,33,white
11459,male,181.4,92.4,right,30,black
11461,male,178.2,86,right,30,white
11462,male,171.7,84.2,right,36,black
11466,male,186,93.9,right,29,white
11468,male,176.3,92.1,left,22,asian
11474,male,162.4,72.4,right,22,black
11488,male,172.3,88.6,right,24,asian
11499,male,167.4,75.3,right,30,asian
11501,male,174.4,85.7,right,30,black
11505,male,174.8,98,right,36,black
11542,male,180.5,74.4,right,42,asian
11545,male,177.5,68,right,21,white
11549,male,173,67.7,right,42,pacific_islander
11551,male,174,73.5,right,20,white
11556,male,175.2,64.9,right,32,black
11561,male,167.3,76.6,right,32,white
11563,male,185,86,right,38,black
11572,male,180.2,80.9,right,20,black
11577,male,172.7,80.1,right,21,white
11607,male,171.7,77.3,right,22,black
11610,male,167.2,88,right,19,black
11646,male,185,90.5,left,20,black
11647,male,195.8,86.6,left,20,white
11653,male,170.8,84.5,right,22,white
11683,male,192.3,120.3,right,38,white
11685,male,168.4,76.9,right,24,hispanic
11690,male,176.2,99.5,right,25,white
11697,male,186.9,105.4,left,31,white
11698,male,176.8,87.2,right,42,white
11705,male,166.8,75,right,35,hispanic
11708,male,165.8,86.5,right,27,hispanic
11717,male,182.3,96.2,right,22,hispanic
11720,male,185.6,72.7,right,25,white
11721,male,179.2,78.5,right,25,white
11722,male,170.9,75.2,right,21,white
11729,male,177.5,74.4,right,46,black
11736,male,171.2,81.8,right,29,white
11738,male,176.9,87.3,right,39,hispanic
11751,male,165.1,69.7,right,33,other
11753,male,177,82.4,right,25,white
11754,male,192.8,99.9,right,35,white
11755,male,175.1,86.7,right,32,hispanic
11758,male,159.7,72.5,right,48,white
11759,male,182,72.8,right,22,white
11761,male,182.1,71.5,right,23,white
11819,male,181.3,127.4,right,23,white
11836,male,182.6,96.1,right,20,white
11837,male,167.5,101.8,right,34,white
11839,male,172.2,86.9,left,24,hispanic
11842,male,171.8,84,right,31,hispanic
11848,male,172.6,83.4,left,31,black
11855,male,176.7,73.3,right,38,native_american
11857,male,170.1,73.5,right,28,white
11862,male,174.4,76.6,right,19,white
