spell,old20,bnc,subtlex
alfpard,3.1,0,0
alga,1.95,15,0
algae,1.95,588,20
alias,1.9,153,143
aliels,1.95,0,0
alien,1.85,1256,788
aliens,1.85,360,433
alight,1.6,384,20
alights,1.7,13,0
align,1.85,130,34
aligned,2.35,395,39
aligns,1.85,17,5
alike,1.9,1462,578
alive,1.85,4254,7714
alked,1.75,0,0
alkoe,1.95,0,0
alks,1.35,0,1
all,1.1,262447,193220
allaced,2.5,0,0
allah,1.85,114,1
allahed,2.65,0,0
allald,2.65,0,0
allaled,2.65,0,0
allape,2.45,0,0
allaps,1.95,0,0
allar,1.9,0,0
allay,1.8,141,16
allayed,2.2,63,4
allays,1.8,6,1
alldess,2.75,0,0
alldets,2.6,0,0
allege,2.3,117,11
alleged,2.35,3073,194
alley,1.7,642,718
alleys,1.75,192,58
allied,1.8,1862,44
allies,1.75,1637,161
allim,2,0,0
allint,2,0,0
allired,2.05,0,0
allob,1.85,0,0
allops,1.75,0,0
allot,1.8,83,8
allots,1.8,5,1
allou,1.85,0,0
allound,2.5,0,0
allow,1.45,11469,1840
allowed,1.8,14345,2278
allows,1.6,4132,277
alloy,1.7,307,50
alloyed,2,12,0
alloys,1.75,121,11
allsit,2.75,0,0
allspice,3.45,13,3
allude,2.45,29,10
allure,2.4,69,23
allured,2.1,4,1
ally,1.4,866,178
allye,1.95,0,0
almed,1.8,0,0
almond,2.35,330,35
almonds,2.65,240,59
almost,2.35,31588,8491
alms,1.5,89,10
almstreck,4.55,0,0
aloe,1.7,27,13
aloes,1.75,7,1
aloft,1.95,212,34
aloid,1.9,0,0
aloiled,2.25,0,0
alolds,2.05,0,0
alone,1.75,13265,15212
along,1.85,19335,9089
aloof,2,236,27
alord,1.9,0,0
aloss,1.8,0,0
aloud,1.9,999,91
alp,1.7,135,1
alped,1.95,0,0
alpen,1.9,2,0
alpha,2.55,1121,87
alphas,2.65,21,0
alpine,2.1,487,6
alping,1.9,0,0
alps,1.65,469,2
alright,2.05,8369,1755
alsace,2.55,113,0
alsehorts,3.65,0,0
also,1.95,124885,9336
alspouch,3.8,0,0
alsund,2.75,0,0
alsunds,2.9,0,0
altar,1.85,895,257
altars,1.9,92,5
alter,1.6,1912,218
altered,1.95,1963,215
alters,1.65,193,20
althos,2.3,0,0
although,3.2,43637,720
alto,1.85,174,12
altos,1.9,53,3
altzed,2.2,0,0
alum,1.75,77,6
alvim,2.4,0,0
always,1.95,46228,31224
alylls,2.75,0,0
am,1,26872,52421
amah,1.9,10,1
amape,1.9,0,0
amass,1.8,53,3
amassed,1.9,157,20
amately,2.6,0,0
amaus,1.9,0,0
amaze,1.85,99,76
amazed,1.85,1011,257
ambent,1.9,0,0
ambents,2.35,0,0
amber,1.85,508,72
ambert,2.1,0,0
amberts,2.45,0,0
ambess,2,0,0
ambessed,2.7,0,0
ambets,1.9,0,0
ambic,2,0,0
ambience,2.85,197,37
ambient,2.75,167,17
ambind,2.25,0,0
ambit,1.9,183,0
amble,1.7,54,5
ambled,1.8,106,2
ambles,1.8,13,0
ambling,1.9,37,1
ambs,1.75,0,1
ambush,2.6,274,245
ambushed,2.65,127,100
amcars,2.35,0,0
amed,1.25,0,0
ameg,1.95,0,0
amen,1.8,325,97
amend,1.8,409,32
amends,1.85,198,94
ameshed,2.35,0,0
amett,2,0,0
amhance,2.8,0,0
amho,1.95,0,0
amiance,2.55,0,0
amias,1.8,0,0
amibed,2,0,0
amid,1.7,1096,34
amidst,2.5,496,28
amion,1.95,0,0
amiques,2.8,0,0
amir,1.8,127,3
amirs,1.8,3,0
amise,1.8,0,0
amiss,1.85,483,38
amives,2,0,0
amler,1.85,0,0
amlers,2,0,0
amlo,1.95,0,0
amlos,2,0,0
ammedes,2.75,0,0
ammet,2,0,0
ammete,2.75,0,0
ammict,2.85,0,0
ammo,2,39,260
amna,1.95,0,0
amning,1.9,0,0
amns,1.9,0,0
amok,2,47,19
amom,1.85,0,0
among,1.95,22864,1541
amongst,2.9,4552,348
amoubt,2.5,0,0
amount,2,15429,1260
amounts,2.25,3017,180
amour,1.9,44,61
amours,1.95,14,5
amp,1.4,679,73
ampaigns,2.75,0,0
ampere,1.95,2,0
amperes,2.1,3,1
ampgrair,3.9,0,0
ampgrairs,3.95,0,0
ampist,2.1,0,0
ampiste,2.95,0,0
amplal,2.7,0,0
ample,1.75,822,80
ampler,1.9,4,0
amply,1.8,202,18
ampoule,2.85,5,0
ampoules,2.9,15,15
amps,1.45,206,48
amrays,1.95,0,0
amsha,2.65,0,0
amsice,2.8,0,0
amsine,2.55,0,0
amtan,2.05,0,0
amuck,1.95,4,26
amuse,1.8,230,124
amused,1.8,1050,128
amwere,2.55,0,0
amwight,2.75,0,0
an,1,344046,90046
anacs,2,0,0
anains,2,0,0
anal,1.9,529,117
anarms,2,0,0
anbet,1.95,0,0
anbrams,2.9,0,0
anceards,3,0,0
anced,1.8,0,0
anch,1.85,0,0
ancher,1.8,0,0
anches,1.8,0,0
anchor,2.35,601,302
anchored,2.75,262,35
anchors,2.45,99,27
anchpays,3.7,0,0
anchta,2.95,0,0
ancient,2.5,5083,953
ancients,2.65,81,18
ancilled,2.85,0,0
ancing,1.85,0,0
ancoose,2.85,0,0
ancs,1.8,0,0
ancy,1.85,0,1
and,1.35,2682878,515365
andas,1.9,0,1
andow,2,0,0
andrar,2.9,0,0
andrars,2.9,0,0
